Ideal_Sum	Received_Signal
294.050333725228	222.21618375012
302.121005050391	279.160110203228
297.237212905361	291.269646883026
297.959079972349	256.084071305747
294.238805453305	314.537838209268
300.547751880806	292.875765912287
297.106735224691	313.2358298068
300.224333123213	276.094025049197
299.026853063466	316.525094359817
300.418606693024	356.673827156739
293.787384089052	345.086974141262
298.486117676952	289.669860677765
293.864628170978	277.648964354857
298.621570449775	279.195879888925
294.112388097697	324.382504553642
298.012125425441	307.694059014084
304.01498203148	309.845202167242
295.040243750709	240.693529411527
301.333955184249	341.959650719879
292.314351057468	287.351624640481
296.511051112476	345.202428766884
296.047577687944	288.556360855465
296.514034382462	261.53089023073
295.109145884622	281.119570410678
299.516060840098	239.303043101931
297.066528367339	323.448988895108
300.196918823239	266.637410391791
299.304757181963	288.962975726732
296.158956438791	325.747099828571
292.937105109857	299.694991572584
294.871302197148	281.907347377283
297.712691115583	350.08495945226
297.964919258416	296.743453511084
301.344673848867	344.273227255453
300.090316442216	253.040158006366
294.600403751374	335.792910352926
295.594537097986	268.290785496251
297.391139986986	305.781471057452
295.344969237601	324.058394814036
301.069637054557	292.396737468083
297.936540596274	271.838223378365
299.248680417107	301.925680993017
296.540143472788	315.800847784186
294.378163479446	311.071424026835
302.043516181438	324.250367469167
296.499223289682	300.363199291919
292.656114226991	287.196086617766
300.105892375441	281.786555913727
299.572289672967	354.142796354159
297.658225133783	309.735356667283
295.693076408927	284.891021128573
301.358480709919	273.839491617044
291.201728484394	289.303698650037
297.209111707645	310.231763716413
295.073136706397	317.005925493398
296.560043358475	289.063635615726
292.150717046029	249.704405260072
297.521458050369	288.252777253209
300.05751550347	310.710025769994
292.782183547469	329.461517784044
293.953477945529	280.322219952584
296.642496738419	317.981299180773
295.694697491454	309.495840351819
300.745107034682	252.275717403686
301.645732917999	360.7233275219
296.331971093241	287.94690584446
293.086000663759	292.578566141149
293.008160493647	300.924248082975
297.286547957662	263.847568924216
297.592035260914	298.345617257633
294.398388412921	308.731179430879
292.45796367907	297.372833480274
294.15542237859	297.683966293034
295.685852828163	282.208390977571
295.062688159223	310.284658315553
298.910971405806	242.275651616171
294.060784013687	289.266484477745
301.484594298747	262.227325363154
299.102980513874	269.463736472285
297.777755594293	249.604265411493
293.75298810966	281.542482533869
292.736307782409	290.777103088962
297.011551826172	321.639275928416
300.485381052764	318.050445543563
295.368589709148	276.541324969643
293.727733673044	303.385767320417
292.974642290812	315.935309234142
297.099633178673	294.500498630933
300.371818494616	305.649459568759
294.182601719347	339.083124146041
297.600300164752	295.492307326705
297.633457392516	280.585976191158
302.624373620179	298.384766135947
302.894001064314	310.744377139661
294.850989888086	286.99471171167
293.951861703343	269.361010304864
291.979236925045	325.434467155536
294.316365841779	295.206642649399
293.848008429975	311.751824798507
298.056088681149	284.302725583458
296.161267676221	278.244390140992
302.639409497239	270.213349391824
292.032147949496	296.50489732247
297.975349511351	294.456545292261
296.755157443504	288.985037007563
296.654873928013	315.458988385294
298.100044167973	252.284145331433
286.640901482658	300.081292541539
292.757081260968	336.79945230374
299.551821270752	269.731240586525
297.127537437077	330.538233746724
291.301213512443	231.663148187923
295.301606783739	283.818812424306
296.373131926344	277.909993653201
298.744362529894	218.867724506174
295.238883523106	210.468110525272
300.154776448371	283.217871078758
299.188873490298	315.67060752462
293.491072896988	317.058638490275
294.462782508398	328.998438223422
288.30311396576	278.288392815713
294.662361149153	311.183871007072
290.353049805805	246.067679979004
302.314090254745	291.751664540239
300.20188454244	279.965238352971
290.829170274924	288.646086986001
299.784869707799	323.309814332808
302.520336443414	327.553743808848
293.741689050817	316.151863066141
296.545964070716	330.593395296224
299.23341803576	305.950664175718
296.937677402653	287.560876627676
297.440014182332	335.327829155335
299.885077432581	311.275460696151
299.599007434465	251.090723712614
293.742729311148	285.735693975666
297.447329920052	269.224808577919
298.455719358954	322.400841901181
293.875711702238	299.366297132862
296.960028340941	318.239018675417
299.034869086391	311.648797771095
296.931752604837	312.841277400082
300.635549414257	272.809309433438
295.729616657548	288.060671929788
292.317001265441	255.242208764011
301.165512885108	331.18725395924
296.487160523867	224.983339168501
297.066355015965	296.331390586725
296.103393243793	287.892607819525
301.442215179051	336.969768101215
299.618866898134	204.518452874024
287.701250036586	287.393955196999
302.675840727273	328.252397803035
293.240737150484	281.156837904364
302.597926209402	316.250373200786
294.119124241125	350.550849323598
299.472451345688	251.137912411802
292.056412203484	296.721691414432
292.36478371893	253.607613787174
291.55338802074	304.469458552244
294.057283130832	275.171525462089
296.718269926124	320.375895982129
294.474325292232	267.812665545968
298.745040883117	300.100410324059
300.160333144849	242.202195163821
291.911463082537	293.514325315733
303.556230913214	299.95491542769
295.229583466937	302.112481364916
297.553022027326	257.506284735035
303.910053610069	283.714177006695
297.403916621254	358.079718837079
291.795892994874	313.523610556411
298.767849464994	242.315457078845
299.727904610933	281.018921033577
300.643802658503	281.702179756551
301.576104136445	301.34200560819
295.126343363941	261.765731013926
301.31516791781	317.478257873952
298.410111959831	288.656802166858
299.828807742377	289.991532876582
293.602232322565	266.824252610668
297.95817763365	246.449787273818
301.270598838813	332.40899649205
295.915390121952	293.825942805779
295.910324474896	294.233746558558
300.698353831677	308.64579532532
292.186077689472	289.974684450574
298.166804056688	292.091840338416
294.326823676592	244.25600619714
296.543226933126	301.034050027831
299.354160823901	284.851576716381
301.276928916314	287.28108229406
295.747123950462	308.114254374434
292.459627567163	297.03511677925
296.146305803692	311.170148991257
301.279696307268	305.640937417371
299.420491388288	273.002558174176
295.096202095195	276.116614477242
293.927423540332	361.945553669244
293.430603643637	302.756819813314
296.371978724783	268.160082084858
297.134473856082	282.21772563896
292.568909847866	258.764069199139
295.958867570854	294.912685150514
298.514529410862	223.291233416484
299.416643895231	295.965298304365
294.018350421435	291.95658646112
299.537773027933	319.703899926219
294.036861809159	293.131744218395
294.38079120545	295.507057671793
300.490637412188	353.563882233668
295.138581803765	312.497020028377
299.660628684913	300.233216391287
297.208723207573	288.639710187512
293.095257065688	248.035540462931
296.972248588633	287.815364130404
294.245547042795	322.436619925387
297.94463341277	295.831477009794
297.161339303478	275.34550521875
294.706671845613	275.449483339774
296.377338089789	267.321213185153
298.681815286475	297.617530171589
296.075673416217	291.813549527478
297.392314669328	259.419448724764
296.130354111309	343.644179802778
296.840730054625	316.1462343412
299.079637816617	244.791771490991
297.957561324392	290.390790334338
295.065919658787	264.417180659544
300.997600262903	265.130225426646
298.865831329182	325.367285990341
290.14417151071	290.897542394956
296.567900147895	304.350538759841
291.452596902875	350.80939062136
295.646501490196	297.74242086841
297.965426845922	304.502143968558
297.614382696802	311.578678597971
294.366441089477	294.333932155933
291.546968763411	310.310468566503
298.22749027465	311.202056365897
294.504305253907	327.180072218284
298.987378590454	326.558088529392
298.985536982318	312.187315721175
304.198754268003	303.224670846339
294.98304661595	268.919134937402
291.975559925455	309.515199251928
300.117639977094	258.477331743803
296.72593706892	334.809327548579
293.146459034015	292.753411707182
297.204031800399	310.733789267719
296.436518778753	264.024936170284
292.107855101435	312.314584657993
294.979376093614	316.062800332229
297.940971045456	269.998309885639
297.753513929688	319.736389848804
299.010571025866	289.426111989901
297.946182946139	321.859971456227
302.551769309062	348.000793585352
297.452094118053	333.805398901843
294.334431647413	298.686659613803
302.140462786098	286.874278158985
295.496254165339	324.556077215357
299.878924847447	264.622656692254
293.623656914067	229.170806854267
301.49002683783	329.545582821025
293.868573221668	319.234714106016
301.706710361903	293.955990320325
291.196486486361	307.699187886952
295.155816646844	335.151236486125
300.281393886015	293.338776629314
298.510628844638	292.131924322764
294.730631541652	297.869213052921
300.615633503486	270.609490927123
297.638637810254	309.127893006667
296.534756626087	344.952197007175
299.35640596417	269.636851858463
297.932095920597	289.447869779879
294.476264038737	237.859595250834
296.398617587042	311.056104731196
296.989219403697	362.55752879546
300.352289588879	276.247441011924
297.926829558026	334.563325054958
296.468942518728	274.827734428773
298.145416309823	300.691098404242
293.955682471956	291.827185620608
297.043388384678	315.930490950045
299.498554353128	342.937621926668
293.99810720055	351.72587019274
296.009090771358	334.967770182084
295.611165845618	314.702739850874
296.009156697657	220.1702211662
296.435129803923	282.738735523129
292.787425160387	298.857301148495
297.373216934005	346.196269536125
292.18181328273	252.70403897201
300.880248443571	287.652046175938
298.487990653958	236.326261879575
301.216485751092	321.933524339395
300.015565375354	324.233677222422
300.610056423708	238.513122726644
295.51328792997	326.76312533473
301.134270972993	306.866025109909
295.747688936339	295.22740839129
297.444468312291	303.275324550464
294.521740414407	315.613693629643
299.018039179749	288.965234670713
300.531470468857	319.576436317177
298.803800563369	271.923096713517
299.826529737508	299.734256171009
293.208605544806	297.371357475774
297.022297384275	282.408260084442
296.35991375603	345.340212073233
296.971900027835	326.599914588813
291.443065702913	275.823899994402
299.447179800629	249.636134046819
292.966363270057	253.543021015282
291.880828333918	279.294169780471
301.463269539486	310.943057721969
290.473254725693	235.824778913598
298.165933082123	291.625335302895
300.892893110536	308.793102849488
294.611883460752	220.012101696961
292.778127743693	270.812772146398
287.062595646853	283.85480736315
296.547611400736	286.455629123019
299.768375851272	290.52488929901
302.094359366228	300.719274618528
294.350048439296	290.987065759182
290.446230875619	249.698622657744
295.975798102396	317.083563688932
293.647956933063	289.169937578755
295.152533569579	288.644176123014
296.640080224557	346.055844275686
295.561823828792	230.960200044475
298.863194948091	264.599116465326
296.562027017839	280.095492492664
294.842879258986	281.149884082003
295.579292050618	287.550107391729
294.499990898035	278.698167625229
296.749505948743	287.119758637577
295.444866075789	327.107970491946
300.333959370478	330.121857551934
295.508761460796	306.632463912927
295.106110239372	263.981933682961
300.290113535389	295.183350555737
297.661368611381	326.47302939453
291.799516248864	220.232924960014
295.791033164792	251.897743941281
299.770169121868	248.760134940517
306.617430663456	275.937567019612
289.342896325338	279.708016259207
294.596071717794	309.792663785041
297.824737124499	305.159662618605
295.921782286969	320.58584857333
294.425922966155	290.518249195911
297.130620351526	349.244667401765
298.924052111238	301.254923680714
291.311459887668	290.840934006714
