SNR_dB	MSE_a_0	MSE_a_05	MSE_a_1	MSE_a_15	MSE_a_2	MSE_a_25	MSE_a_3	MSE_a_35	MSE_a_4	MSE_a_45	MSE_a_5	MSE_a_55	MSE_a_6	MSE_a_65	MSE_a_7	MSE_a_75	MSE_a_8	MSE_a_85	MSE_a_9	MSE_a_95	MSE_a_10
-1	423996.892596176	434794.604835619	447379.854691364	455097.790827341	467218.674051596	453984.461880751	434823.028514162	434480.720604311	457949.016310999	456105.951987563	455172.692708634	435346.863637986	442606.272815141	435755.753746711	447195.122340375	432887.206945748	443754.184269569	445796.578587849	451742.89152906	436479.511745407	457770.178716205
0	430059.545043975	432180.151517882	425584.224193581	457676.911116643	467946.085779465	451411.72913549	446305.212615935	465625.882339894	448799.295156932	460285.804854892	456204.804650879	467377.670978914	448431.805993527	437592.500889545	441309.099339854	461948.59867248	451444.073925703	482091.344680138	451340.644028417	452449.98412222	433434.399107699
1	421739.115011006	438193.310181417	464460.970456114	459435.384035935	473111.017798403	470008.652655116	466615.324899754	442020.828672182	463473.250882089	454627.595085807	474573.1990139	464672.08712628	457241.07633991	468993.931912234	470941.339619655	459469.590296307	458944.072750055	468043.057170292	461269.257063587	465309.990377432	452547.84262551
2	427717.061399437	445491.147068787	476696.122430332	476104.655327102	492967.575344474	497445.697937522	465954.443927274	475265.440471987	483561.435212781	478852.316230518	481453.290033234	468291.115830057	477663.974209618	467782.664514937	477334.895874219	475074.756321118	493035.668220237	469869.127302019	463295.165394815	476757.823421473	465639.486640255
3	458712.828547954	478890.922484944	486371.345367812	494141.669726277	492789.170796286	472964.206861672	486571.938116564	487512.162864445	489236.824896855	487582.956331415	482789.360686091	502055.700384236	495722.057695045	475954.487341754	489026.406912643	483638.210438591	486901.793740966	495062.801510612	498182.489272887	491710.452351262	489830.802843579
4	468022.325186549	476941.50236029	510819.810524137	510222.239777269	525412.533713864	519519.949658177	513374.045029863	497229.784115746	499119.744591289	523764.676711179	521892.734573127	504974.131438838	507575.920262422	500104.103319243	513333.607950148	511811.947742203	515409.271106507	494995.111976337	501945.148690792	522815.887778434	502505.013921191
5	503599.911551197	511754.542665971	523475.98449264	540084.163111962	525720.926010307	538451.218684928	541131.642504871	520394.584166479	538525.498640316	527586.98513	537924.048284189	530162.983528595	521690.378150667	524898.104599868	540036.81378388	524179.087146952	533862.209292681	548945.386428891	526665.755619019	537445.529960484	518455.551343873
6	523818.712798563	535994.610506744	551597.507165758	582619.396316878	561142.294852927	575530.802628202	553752.447954606	545265.555827579	550883.720897021	555497.694214416	564731.944237012	564958.795267101	561456.182342656	554916.6552026	572493.307808248	564184.587196986	553626.719964565	562955.650268063	554634.798745151	564722.163150056	552773.767117473
7	534948.970415309	561396.187009317	568389.620554351	590519.115434631	587271.373473291	596853.017613117	586419.715188998	580241.497169671	585237.478021937	586151.777857008	593231.358005705	603704.808411383	586572.973185617	596696.622245602	583471.895685684	592096.982851582	583946.978707116	581153.883169438	569091.603910466	576171.2275721	582065.69028269
8	567732.428749586	585720.187208236	604023.362728159	623330.232718415	639392.643066055	628268.184188098	618015.978019148	603553.578285814	628119.138490984	614787.837197321	620281.940205495	623135.109329241	617420.33509825	620573.097999672	606000.984360651	614889.104920978	619500.222876985	613887.279384183	617587.681999014	616239.537872216	614102.83126655
9	600516.83140886	614900.753125308	643847.033366345	672727.778612412	665789.319860712	670436.542273374	656727.226973958	637731.337646919	646666.021582255	662230.196105921	652622.674025231	649047.235021813	655683.651587845	661953.606729392	645458.047672056	661575.064393239	659316.193849204	663999.874227228	650908.061444854	649302.522918223	660858.420973929
10	641203.500752221	650765.221278499	689074.615859345	699214.745642455	699865.112220361	698999.687945567	696891.490770632	695499.550604309	694897.939843537	700237.897725755	698590.686796036	693914.918187764	691684.038675624	693305.148592719	692894.000916985	692200.55063598	688227.400823275	691900.992028734	695819.991120122	689018.233838108	682565.278831549
11	676410.280010746	693437.978393868	717538.475332768	738861.06743296	749397.815966371	733613.678259378	724101.394308614	720982.073501647	723473.267190533	723408.300807868	732045.875978005	735510.568413403	730031.499723229	728408.852720341	730278.938906083	735959.099277389	725856.354822194	722474.62552201	730277.608137185	737936.134771472	736571.598401247
12	714499.911531035	731890.479449065	757163.204287379	776730.463063405	783892.638691642	773142.741305579	768870.828874076	769325.268827257	770182.153692937	770997.566902325	775314.717604002	771181.31084301	777217.378357669	773795.318216596	770660.218174103	765227.450001397	770300.68249681	768187.390116521	768758.36774445	761650.293617538	771532.38969394
13	755205.856383353	784177.39685192	802400.121693739	826206.829354688	835100.533241437	820544.675418172	817071.867794889	801202.397890096	809414.798334391	816973.827843592	819700.252069201	817786.758913744	823313.929080085	809479.83946779	807110.360738054	812867.555463084	821769.545454887	815277.173209234	819236.398346756	814395.380274956	812455.801824863
14	795277.98456101	805853.282757851	846474.022070683	866824.605385512	879432.916153349	870172.68264336	859681.266809272	858778.611691382	860295.623576484	863719.47643343	864499.221987271	867769.613048286	861041.724366333	852402.658705289	860593.701501324	856388.689507491	860800.306127588	873486.853474071	858325.441420179	847426.690387372	863957.686542835
15	842645.857878857	863453.609397095	885280.367941532	912244.952159652	921723.604387956	911603.206866511	909149.869332008	897210.595682039	904805.714523204	906967.234695974	910981.182931259	914884.959187781	907999.044742517	901926.425506103	899117.476254919	905519.452684446	908498.644987751	903425.119466321	912382.187401576	908745.735947703	905554.714603037
16	892545.479449808	904209.799608608	936375.879927542	963310.381170228	974027.488984754	969933.633691343	955239.002557466	944990.117631699	943411.054860505	955297.148873458	963867.134871622	964167.738550952	965004.292705203	946977.870949659	956787.155026739	950478.695862102	958735.66501753	959884.612390763	960450.952802512	956327.69568232	956121.505000664
17	935607.810669821	951112.246590486	989657.683992298	1014889.66515643	1022399.0795873	1020226.14921072	1004638.4780132	1001289.31764973	1002880.79752128	1005959.71813496	1021703.11446126	1013128.78798903	1015771.5868731	1011535.01193387	1002477.30634257	1008684.09822023	1012512.94772765	1017310.84519267	1007199.50462583	1014263.49369985	1007286.19265908
18	987365.219929562	996801.861929766	1040503.03461842	1073209.30605266	1080869.57960623	1073435.55666529	1060577.15346282	1046223.30353546	1049985.79703095	1067784.97018286	1069466.92916484	1066618.65696609	1061747.72678862	1062319.15484894	1053367.46441471	1062161.48151843	1073981.17285785	1065352.99693444	1067126.96409068	1056188.87833274	1061424.92261053
19	1036046.02016419	1054650.10909916	1095548.34439781	1131682.53958856	1142344.85431392	1128547.96852491	1115192.2237328	1104649.7327586	1111015.36284887	1120525.12133756	1127318.29525934	1121052.75346261	1117584.27158054	1115871.39128081	1106683.01648132	1115638.03368001	1115381.91187513	1121530.11751161	1116914.971472	1121253.84476926	1115800.73532134
20	1088742.73930916	1115888.6374155	1156484.15852101	1184493.65394895	1197608.02480539	1186164.32610807	1163923.48295244	1153841.0734426	1163049.80107352	1172480.8662329	1176847.26470899	1182450.50235105	1172109.46197257	1169087.97840147	1165952.19894389	1173195.50841264	1174329.6159165	1182324.57941538	1175031.71324153	1177459.66701292	1165729.75676187
