SNR_dB	RollOff	MSE
-7	1.00	1.865998e+01

-6	0.00	1.600751e+01
-6	0.05	1.612979e+01
-6	0.10	1.588259e+01
-6	0.15	1.454519e+01
-6	0.20	1.541406e+01
-6	0.25	1.534765e+01
-6	0.30	1.516406e+01
-6	0.35	1.459523e+01
-6	0.40	1.500623e+01
-6	0.45	1.447800e+01
-6	0.50	1.534153e+01
-6	0.55	1.507276e+01
-6	0.60	1.446119e+01
-6	0.65	1.457520e+01
-6	0.70	1.485787e+01
-6	0.75	1.464193e+01
-6	0.80	1.392331e+01
-6	0.85	1.479118e+01
-6	0.90	1.432139e+01
-6	0.95	1.480808e+01
-6	1.00	1.489638e+01

-5	0.00	1.291076e+01
-5	0.05	1.329293e+01
-5	0.10	1.219560e+01
-5	0.15	1.182876e+01
-5	0.20	1.227683e+01
-5	0.25	1.206465e+01
-5	0.30	1.170150e+01
-5	0.35	1.166047e+01
-5	0.40	1.164961e+01
-5	0.45	1.193201e+01
-5	0.50	1.151434e+01
-5	0.55	1.201277e+01
-5	0.60	1.249277e+01
-5	0.65	1.207503e+01
-5	0.70	1.162691e+01
-5	0.75	1.202808e+01
-5	0.80	1.173778e+01
-5	0.85	1.212904e+01
-5	0.90	1.203616e+01
-5	0.95	1.208959e+01
-5	1.00	1.197114e+01

-4	0.00	1.083087e+01
-4	0.05	1.119136e+01
-4	0.10	1.033148e+01
-4	0.15	9.683018e+00
-4	0.20	9.625046e+00
-4	0.25	9.565400e+00
-4	0.30	9.109277e+00
-4	0.35	9.632008e+00
-4	0.40	9.570885e+00
-4	0.45	9.422600e+00
-4	0.50	9.339749e+00
-4	0.55	9.500294e+00
-4	0.60	8.923069e+00
-4	0.65	9.284938e+00
-4	0.70	9.615778e+00
-4	0.75	9.605885e+00
-4	0.80	9.301367e+00
-4	0.85	9.738477e+00
-4	0.90	9.581786e+00
-4	0.95	9.553069e+00
-4	1.00	9.641478e+00

-3	0.00	8.993622e+00
-3	0.05	9.610938e+00
-3	0.10	8.102190e+00
-3	0.15	7.694682e+00
-3	0.20	7.864254e+00
-3	0.25	7.710221e+00
-3	0.30	7.373351e+00
-3	0.35	7.761813e+00
-3	0.40	7.521841e+00
-3	0.45	7.588464e+00
-3	0.50	7.700333e+00
-3	0.55	7.450601e+00
-3	0.60	7.487707e+00
-3	0.65	8.014974e+00
-3	0.70	7.322389e+00
-3	0.75	7.652791e+00
-3	0.80	7.836147e+00
-3	0.85	7.877553e+00
-3	0.90	7.961530e+00
-3	0.95	7.549617e+00
-3	1.00	7.690621e+00

-2	0.00	7.738578e+00
-2	0.05	7.736557e+00
-2	0.10	6.701304e+00
-2	0.15	5.952509e+00
-2	0.20	5.864111e+00
-2	0.25	6.343113e+00
-2	0.30	6.062213e+00
-2	0.35	6.292865e+00
-2	0.40	5.837544e+00
-2	0.45	5.987683e+00
-2	0.50	6.138218e+00
-2	0.55	6.157902e+00
-2	0.60	6.225783e+00
-2	0.65	6.227258e+00
-2	0.70	6.293821e+00
-2	0.75	6.032501e+00
-2	0.80	5.856566e+00
-2	0.85	6.137756e+00
-2	0.90	6.260551e+00
-2	0.95	5.952258e+00
-2	1.00	5.864912e+00

-1	0.00	6.742013e+00
-1	0.05	6.561254e+00
-1	0.10	5.580447e+00
-1	0.15	4.870798e+00
-1	0.20	4.857584e+00
-1	0.25	4.995474e+00
-1	0.30	5.049177e+00
-1	0.35	4.864985e+00
-1	0.40	4.830460e+00
-1	0.45	4.960230e+00
-1	0.50	4.975243e+00
-1	0.55	5.014323e+00
-1	0.60	5.010178e+00
-1	0.65	4.654781e+00
-1	0.70	4.727244e+00
-1	0.75	4.974748e+00
