SNR_dB	MSE_a_0	MSE_a_05	MSE_a_1	MSE_a_15	MSE_a_2	MSE_a_25	MSE_a_3	MSE_a_35	MSE_a_4	MSE_a_45	MSE_a_5	MSE_a_55	MSE_a_6	MSE_a_65	MSE_a_7	MSE_a_75	MSE_a_8	MSE_a_85	MSE_a_9	MSE_a_95	MSE_a_10
-10	69569.7977671468	69891.2880568764	72992.186079208	75731.8535192624	76896.0337760674	78914.1306312509	78658.210204223	77115.4600106656	76060.5860875585	77405.425413309	78566.0836681477	77236.3301206955	78180.105732984	77981.1207277125	76236.5862801769	76783.0846643334	77147.7896795886	78003.4565721772	76826.2429078621	77531.4548098976	77739.4672996123
-9	83000.2866216482	82528.9981268194	86038.1469681822	89777.6534578559	93114.4746398941	93521.4778810177	93387.5984944238	92649.4268783767	90580.1337033684	91660.3765658606	93208.2393346847	91742.5011807903	93234.523278736	91866.7100483849	91919.5671543392	91801.6596690877	92375.9030886309	91238.1522460295	92164.7150742991	93143.5428843767	91380.431490979
-8	96410.8652945793	96865.9138458352	100973.400611769	106487.395404569	110069.759496623	112144.039082214	111372.24720062	107774.839644505	107579.367685819	105646.001526935	108552.041729756	108665.864153749	109876.118341266	108754.461482186	108299.497915934	108574.083090833	108931.713259904	109157.736077957	109294.227729733	110777.779509541	110134.677933584
-7	112748.578327207	113842.878096047	118303.489574288	123953.83871347	127111.455984317	129475.971935395	129261.929763408	126656.366259698	124742.22494704	125080.355242451	127567.859918155	127804.509372016	127924.7490619	126241.135998076	126482.437967142	126180.986758244	126437.621659382	127582.300324075	127991.19710996	126720.369198873	126891.919894608
-6	131745.641580654	130835.719101488	135756.051840528	142637.634187284	147428.748163241	149277.473242344	148093.078390701	145615.889899197	143770.728200447	145370.551594933	146131.010021903	147344.537253537	147876.543872293	147719.164600109	146276.8242159	146180.284680112	145782.302527801	146426.646698582	147251.336820115	147779.720561778	145921.840082958
-5	149346.467731263	148142.979242611	155210.280360725	161901.153010056	169037.404358599	170998.028804478	168599.080247897	167821.173497133	165391.939664034	164508.576878514	166600.152488249	168431.726170221	168267.982697504	167294.313654472	166279.143359689	165723.81741478	165010.557100398	166451.422019786	167500.143920242	166902.145260939	166827.400240014
-4	168833.930965442	169214.114930163	176085.201836172	183711.026238598	190423.412936297	193386.097899396	191409.108157363	190044.607801685	186711.829545494	187251.422392678	187633.837390269	189634.056779275	190602.13694027	189629.563642555	189076.349090938	189288.233048448	187460.415330558	189477.989029516	190118.376428168	190274.724611491	188520.833223837
-3	191503.195345815	190080.758739008	197215.596718732	207716.351392346	215360.756914256	218454.222174269	215639.947938185	212708.098629966	210664.656240466	211577.038119809	213158.426282941	215330.717105665	213745.718200185	213232.561829801	212991.009597858	211374.448898128	212086.483301017	213352.659690145	215082.596589633	213712.553904621	214099.707406388
-2	213005.212654891	214420.674789519	221009.824415518	232039.706281208	239961.501998698	243805.903150599	241726.463275571	239788.332987329	236303.242203278	236211.510432215	236696.928256872	239116.281594365	241054.71556127	238733.4244254	237700.307149798	238349.504059642	236591.759593743	237562.189608508	239944.422343349	239238.233772132	238810.453486924
-1	237956.343591843	236633.481787334	246207.0855311	258909.550144941	268637.755424114	269918.808055095	269204.317354006	265469.896364589	262628.442688015	262567.489798891	262714.115433527	265005.685946833	266701.758460961	266488.571304685	264200.850469935	263412.885922525	264572.412325608	265469.358431804	265587.230225693	265936.716578912	264046.148958864
0	264897.685456312	263096.706208392	271910.022065046	285772.229157698	296340.509825993	300404.110618518	296874.937619767	294137.23145269	290337.827485469	290830.013394699	293841.208481616	292963.960930616	294992.735707935	294282.024302039	293411.68598143	292174.50423108	292052.554378152	292653.515882874	294953.124325762	294523.366373137	293315.137947779
1	290368.669179762	289330.053090409	299951.667232725	314547.128485934	325528.23735832	329899.115926031	326669.191501762	324456.1827719	320867.186481807	318584.678050477	322678.218925889	323498.224207417	325032.424771853	323252.386548299	321429.763586278	321685.512557389	321550.694078675	321883.650776317	324545.974011591	323981.916221515	322106.827793947
2	317474.785718529	317670.931505114	328193.191229623	343169.835845031	356461.535137205	361486.802758917	358466.700783554	353773.970098101	352926.664433423	350124.444777415	353569.432903685	356147.399346433	356344.64054843	355181.574205102	355065.282440626	351476.23261209	352608.811725352	353948.185777187	356206.880722766	354197.490856367	354786.484553761
3	347622.670951296	347346.057978504	359389.728926842	376551.943446184	389810.998635806	394098.308344193	390846.107671933	385654.732682742	383384.407509216	382762.199670305	386700.061561368	387967.807251621	389009.499909513	387577.225454438	386307.079343501	385307.11377522	385415.021126161	385433.715648507	387407.666975069	387040.241614141	386813.17621402
4	378291.661075731	377734.733435031	390356.358528029	410153.267985386	423367.27997833	429520.077081484	427687.551215966	420702.519613777	416458.061723879	415945.610620762	420234.219314704	423400.458771348	423183.524233525	421179.035091474	419400.894421438	418857.649138212	420004.065047695	421459.636770041	422313.166318959	422102.534691589	421103.938061408
5	409573.35975103	409210.953082626	424227.231431598	444278.956165612	460748.923721802	465977.316007114	462673.027477223	455858.396544247	452451.594721043	452720.130059659	454100.608935625	458141.642055364	459256.941216846	459116.031892353	455823.269031206	454177.948909233	455611.029264156	455820.845712426	457740.929347614	459400.174912938	456846.176138608
6	444339.390670529	441160.635088433	457601.488011902	480125.980529596	497164.211386922	502852.905287765	500127.055194221	493644.23695878	488644.834325884	489227.144849179	491806.466823773	495963.999536392	497445.392518244	494714.972709114	492927.771187626	490392.751803066	490896.441423284	493636.840142094	495506.421095414	495262.298407187	493440.249793098
7	477959.017299178	478783.044055733	494840.788352111	518022.918388035	536240.155323738	542830.527111101	538940.032701236	532141.967267045	526903.468043671	527985.21230412	530200.218579904	534132.181459527	535947.59957441	533255.317845831	530775.818047149	528619.553059567	529406.665471328	531180.626690198	533405.639687075	535504.162886198	531629.580218752
8	514991.248143974	513374.721608052	532464.091164117	557145.317996611	576443.868856334	583863.311507149	579885.399277284	570794.210091556	566919.07711275	565616.900222861	570119.891015514	574879.067831153	577254.941353662	573041.282248552	570969.964893986	568310.540908758	569472.070730024	572709.079774473	574821.349964859	574251.833799216	570979.12115726
9	550841.962430803	551282.011975012	569804.564905719	596893.325681615	618922.008155863	626194.646383241	622814.949472289	614061.972866538	607479.890824873	607388.585592885	610781.074573074	616354.201844414	616952.359466968	614785.590208803	612903.929078162	611107.412175821	612135.698031234	612648.228297712	615692.419792571	615158.192498258	613380.041226024
10	590711.763002902	588253.541526723	609908.095342794	638508.528972034	662402.881363082	669497.237785809	664781.504651162	656328.889514672	649427.528545067	650019.919472821	655104.757583576	659666.844222544	660267.871688468	658019.650030479	655251.049818821	653481.507057614	653936.82016965	655930.076521286	659348.466154951	657993.502418758	656972.980986082
11	630045.537878706	628637.475092474	651328.353727398	682553.463781518	706223.447650567	715578.831783841	709715.523943629	700908.864338594	694999.60776107	693907.008749503	698828.704046096	704702.464030111	705477.162002461	704228.318353314	699720.147734271	696240.554329958	698299.107138425	700530.071917794	702709.309091632	703626.047971816	700121.249278372
12	671780.760276745	670559.138925934	693660.950163924	727074.012040341	751826.128434804	762302.357808881	756382.036881744	746408.424031704	739022.163763391	739019.59764253	744705.963706981	750981.756350576	751778.772703042	748571.441982837	745752.058536649	743375.900465355	743800.304025088	746798.699463268	749577.209628378	748768.569685401	746597.151192755
13	714802.773477009	713070.771482687	738328.88224835	771964.232444192	800232.670064057	810076.001669711	805247.850824021	793544.705483058	786274.42575138	786758.543640105	791628.202929121	797673.562466632	799212.455697503	797614.044128268	792442.597610612	789944.435526827	790575.947563087	793862.854572154	797436.953110582	797717.73590331	794410.477341574
14	758716.160398552	756738.044885783	783318.014308922	820129.314041703	849897.483051026	860528.693130878	853325.574846558	842441.537903954	834461.793432531	834097.197205056	840087.859470755	845791.15059016	848521.339218481	845685.681833599	840980.276131065	838275.309631358	839403.595168291	842194.457738517	845446.557291059	846349.813789749	843159.124658851
15	804736.63672899	801707.470114262	829963.900949148	869232.686717569	901408.61524653	911844.1170809	905346.069581264	892864.457160315	884318.491719074	884412.88801021	890472.445593165	896618.261598909	899026.239790729	895719.661355102	890851.039622246	888617.811954783	889529.521051817	893857.43597976	896146.231362334	897243.17237721	893258.115212315
16	850885.423534704	848548.421430178	878193.734753831	919802.519130135	951786.722250932	964274.201944494	957325.198244093	944689.362316852	936030.699368617	936196.550074303	942475.985357435	949570.526575615	950756.012602806	947199.516585186	943375.374437005	939600.376680262	940867.143194165	944442.717837638	947991.731826485	948658.037660489	945060.536699554
17	898093.498421487	896779.290673354	927352.469664705	972340.820971841	1005577.28362301	1018502.86292265	1011311.71603662	998001.66985398	988586.840673971	989028.739072159	995994.568799739	1002901.10715491	1004932.08185295	1000862.37175928	996242.48184223	992642.747998188	993862.809480071	997334.688527499	1002178.41994513	1002722.84197673	998113.178022021
18	947523.02538392	945616.691240687	978368.620719258	1025415.03635358	1061125.13094432	1074124.82189315	1066500.55850489	1052307.53206299	1042913.14783476	1043274.19965091	1050154.76494254	1057270.85533339	1059677.48174275	1056332.39830393	1051223.97538717	1047563.39830563	1048415.4360087	1052410.72933805	1057207.24532177	1056847.16095313	1052737.91788883
19	998061.957693086	995685.307940607	1031016.62481298	1080225.60322537	1117459.55275771	1131061.24337686	1123809.1457981	1108679.34887638	1098700.66815995	1098573.77339379	1106078.03696077	1113788.17981368	1115720.57112891	1111608.12746151	1106611.58260983	1103364.05025191	1103425.96602016	1108582.44023839	1112674.05707124	1113021.37036491	1108344.92523894
20	1050497.42260887	1047353.19053714	1084414.04016692	1136252.13209368	1175305.38489159	1189934.06438756	1182133.34585271	1165914.60271241	1154998.03045983	1154850.12247921	1163166.49027084	1171512.07043216	1174507.45565698	1170146.02185805	1164675.37628517	1160011.88147822	1161606.91768298	1165611.88456044	1171281.50397654	1171136.81025318	1166904.41722097
